review,rating,date,bank,source
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
Good !,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
i like it,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
Very nice app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play
the app is not functional this week.,4,2025-11-08,Commercial Bank of Ethiopia,Google Play
good,5,2025-11-07,Commercial Bank of Ethiopia,Google Play
very updated bank,5,2025-11-06,Commercial Bank of Ethiopia,Google Play
tankyu,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
nice,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Commercial Bank of Ethiopia,Google Play
loved it,5,2025-11-05,Commercial Bank of Ethiopia,Google Play
Ok,1,2025-11-05,Commercial Bank of Ethiopia,Google Play
this app is not working on my phone,5,2025-11-03,Commercial Bank of Ethiopia,Google Play
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,Commercial Bank of Ethiopia,Google Play
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,Commercial Bank of Ethiopia,Google Play
nice,5,2025-11-02,Commercial Bank of Ethiopia,Google Play
wow 😘😘😘,4,2025-11-02,Commercial Bank of Ethiopia,Google Play
mobile banking broblem,5,2025-11-01,Commercial Bank of Ethiopia,Google Play
good job,5,2025-11-01,Commercial Bank of Ethiopia,Google Play
good,3,2025-11-01,Commercial Bank of Ethiopia,Google Play
it is a good and clear apps to use,4,2025-10-31,Commercial Bank of Ethiopia,Google Play
